"quote","name","date"
"English - Hello - IsiXhosa - Molo - IsiZulu - Sawubona - Tshiven_a - Ndaa/AA! - Afrikaans - Hallo","Greetings & Conversations( informal and formal)","20180918"
"English - in the Morning - IsiXhosa - Kusasa - IsiZulu - Ekuseni - Tshiven_a - Matsheloni - Afrikaans - Goeie môre","Greetings & Conversations( informal and formal)","20180918"
"English - In the Afternoon - IsiXhosa - Emvakwemini - IsiZulu - Emini - Tshiven_a - Masiari - Afrikaans - Goeie middag","Greetings & Conversations( informal and formal)","20180918"
"English - In the Evening - IsiXhosa - Ngokuhlwa - IsiZulu - Ebusuku - Tshiven_a - Madekwana - Afrikaans - Goeie naand","Greetings & Conversations( informal and formal)","20180918"
"English - How are you? - IsiXhosa - Unjani? - IsiZulu - Unjani? - Tshiven_a - Hurini?/ Vhari mini? - Afrikaans - Hoe gaan dit?","Greetings & Conversations( informal and formal)","20180918"
"English - I am fine, thnak you - IsiXhosa - Ndiphilile enkosi, unjani wena? - IsiZulu - Ngiyaphila, unjani wena? - Tshiven_a - Ndi hone, ndi vhudzisa ngeo - Afrikaans - Met my gaan dit goed, dankie","Greetings & Conversations( informal and formal)","20180918"
"English - Thnak you - IsiXhosa - Enkosi - IsiZulu - Ngiyabonga - Tshiven_a - Ndo livhuwa - Afrikaans - Dankie","Greetings & Conversations( informal and formal)","20180918"
"English - Whats your name? - IsiXhosa - Ngubani igama lakho? - IsiZulu - Ubani igama lakho? - Tshiven_a - Dzina _anu ndi nnyi? - Afrikaans - Wat is jou naam?","Greetings & Conversations( informal and formal)","20180918"
"English - My name is.. - IsiXhosa - Igama lam ngu.. - IsiZulu - Igama lami ngu… - Tshiven_a - Dzina _anga ndipfi… - Afrikaans - My naam is..","Greetings & Conversations( informal and formal)","20180918"
"English - Goodbye (Go well) - IsiXhosa - Hamba kakuhle - IsiZulu - To those staying: Sala kahle (singular)Salani kahle (plural)To those departing: Hamba kahle (singular)Hambani kahle (plural) - Tshiven_a - Vhatshimbile zwavhu_i - Afrikaans - Totsiens","Greetings & Conversations( informal and formal)","20180918"
"English - Yes - IsiXhosa - Ewe - IsiZulu - Yebo - Tshiven_a - ee! - Afrikaans - Ja","Greetings & Conversations( informal and formal)","20180918"
"English - No - IsiXhosa - Hayi - IsiZulu - Cha - Tshiven_a - Hai - Afrikaans - Nee","Greetings & Conversations( informal and formal)","20180918"
"English - Please - IsiXhosa - Ndiyacela - IsiZulu - Ngiyacela - Tshiven_a - Ndi khou tou humbela - Afrikaans - Asseblief","Greetings & Conversations( informal and formal)","20180918"
"English - I’m sorry - IsiXhosa - Ndicela uxolo - IsiZulu - Ngiyaxolisa - Tshiven_a - Khou humbela pfarelo - Afrikaans - Ek is jammer","Greetings & Conversations( informal and formal)","20180918"
"English - I cant speak… - IsiXhosa - Andikwazi ukuthetha i… - IsiZulu - Angikwazi ukukhuluma i… - Tshiven_a - ndi nga sikone u amba - Afrikaans - Ek kan dit nie praat nie","Greetings & Conversations( informal and formal)","20180918"
"English - I speak it a little bit - IsiXhosa - Ndisithetha kancinci - IsiZulu - Ngiyazama ukukhuluma  - Tshiven_a - ndi tou kona u amba nyana - Afrikaans - Ek kan dit 'n bietjie praat","Greetings & Conversations( informal and formal)","20180918"
"English - I  know - IsiXhosa - Ndiyayazi - IsiZulu - Ngiyazi - Tshiven_a - ndi a _ivha - Afrikaans - Ek weet","Greetings & Conversations( informal and formal)","20180918"
"English - I don’t know - IsiXhosa - Andiyazi - IsiZulu - Angazi - Tshiven_a - athi _ivhi - Afrikaans - Ek weet nie","Greetings & Conversations( informal and formal)","20180918"
"English - Today - IsiXhosa - Namhlanje - IsiZulu - Namhlanje - Tshiven_a - _amusi - Afrikaans - Vandag","Greetings & Conversations( informal and formal)","20180918"
"English - Yesterday - IsiXhosa - Izolo - IsiZulu - Izolo - Tshiven_a - Mulovha - Afrikaans - Gister","Greetings & Conversations( informal and formal)","20180918"
"English - Tomorrow - IsiXhosa - Ngomso - IsiZulu - Kusasa - Tshiven_a - Matsheloni - Afrikaans - Môre","Greetings & Conversations( informal and formal)","20180918"
"English - Black - IsiXhosa - Mnyama - IsiZulu - Mnyama - Tshiven_a - mutswu - Afrikaans - Swart","Colours","20180918"
"English - White - IsiXhosa - Mhlophe - IsiZulu - Mhlophe - Tshiven_a - mutshena - Afrikaans - Wit","Colours","20180918"
"English - Grey - IsiXhosa - Ngwevu - IsiZulu - Mpunga - Tshiven_a - muse_ha - Afrikaans - Grys","Colours","20180918"
"English - Green - IsiXhosa - Luhlaza - IsiZulu - Luhlaza satshani - Tshiven_a - lutombo - Afrikaans - Groen","Colours","20180918"
"English - Blue - IsiXhosa - Blowu - IsiZulu - Luhlaza sasibhakabhaka - Tshiven_a - mudala - Afrikaans - Blou","Colours","20180918"
"English - Yellow - IsiXhosa - Mthubi - IsiZulu - Phuzi - Tshiven_a - _a_a - Afrikaans - Geel","Colours","20180918"
"English - Orange - IsiXhosa - Orenji - IsiZulu - Wolinsthi - Tshiven_a - swiri - Afrikaans - Oranje","Colours","20180918"
"English - Red - IsiXhosa - Bomvu - IsiZulu - Bomvu - Tshiven_a - Mutswuku - Afrikaans - Rooi","Colours","20180918"
"English - Maroon - IsiXhosa - Maruni - IsiZulu - Obubende - Tshiven_a - Meruni - Afrikaans - Maroen","Colours","20180918"
"English - Brown - IsiXhosa - Mdaka - IsiZulu - Nsundu - Tshiven_a - Buraweni - Afrikaans - Bruin","Colours","20180918"
"English - Pink - IsiXhosa - Pinki - IsiZulu - Bomvana - Tshiven_a - Pinki - Afrikaans - Pienk","Colours","20180918"
"English - Monday - IsiXhosa - Mvulo - IsiZulu - UMsombuluko - Tshiven_a - Musumbuluwo - Afrikaans - Maandag","Days of the week","20180918"
"English - Tuesday - IsiXhosa - Lwesibini - IsiZulu - ULwesibili - Tshiven_a - _avuvhili - Afrikaans - Dinsdag","Days of the week","20180918"
"English - Wednesday - IsiXhosa - Lwesithathu - IsiZulu - ULwesithathu - Tshiven_a - _avhuraru - Afrikaans - Woensdag","Days of the week","20180918"
"English - Thursday - IsiXhosa - Lwesini - IsiZulu - ULwesine - Tshiven_a - _avhu_a - Afrikaans - Donderdag","Days of the week","20180918"
"English - Friday - IsiXhosa - Lwesihlanu - IsiZulu - ULwesihlanu - Tshiven_a - _avhu_anu - Afrikaans - Vrydag","Days of the week","20180918"
"English - Saturday - IsiXhosa - Mgqibelo - IsiZulu - UMgqibelo - Tshiven_a - Mugivhela - Afrikaans - Saterdag","Days of the week","20180918"
"English - Sunday - IsiXhosa - Cawa/Cawe - IsiZulu - ISonto - Tshiven_a - Swondaha - Afrikaans - Sondag","Days of the week","20180918"
"English - January - IsiXhosa - uMdumba (Janyuwari) - IsiZulu - uMasingana - Januwari  - Tshiven_a - Phando - Afrikaans - Januarie","Months of the year","20180918"
"English - February - IsiXhosa - uMthupha (Februwari) - IsiZulu - uNhlolanja - Februwari - Tshiven_a - Luhuhi - Afrikaans - Februarie","Months of the year","20180918"
"English - March - IsiXhosa -  Ukwindla (Matshi) - IsiZulu - uNdasa - Mashi - Tshiven_a - _hafamuhwe - Afrikaans - Maart","Months of the year","20180918"
"English - April - IsiXhosa - uThazimpunzi (Epril) - IsiZulu - uMbasa - Ephreli - Tshiven_a - Lambamai - Afrikaans - April","Months of the year","20180918"
"English - May  - IsiXhosa - uCanzibe (Meyi) - IsiZulu - uNhlaba - Meyi - Tshiven_a - Shundunthule - Afrikaans - Mei","Months of the year","20180918"
"English - June - IsiXhosa - uSilimela (Juni) - IsiZulu - uNhlangulane - Juni - Tshiven_a - Fulwi - Afrikaans - Junie","Months of the year","20180918"
"English - July - IsiXhosa - uNtulikazi (Julayi) - IsiZulu - uNtulikazi - Julayi - Tshiven_a - Fulwana - Afrikaans - Julie","Months of the year","20180918"
"English - August  - IsiXhosa - eyeKhala (Agasti) - IsiZulu - uNcwaba - Agasti - Tshiven_a - _hangule - Afrikaans - Augustus","Months of the year","20180918"
"English - September  - IsiXhosa - eyoMsintsi (Septemba) - IsiZulu - uMandulo - Septhemba - Tshiven_a - Khubvumedzi - Afrikaans - September","Months of the year","20180918"
"English - October - IsiXhosa - eyeDwarha (Oktoba) - IsiZulu - uMfumfu - Okthoba - Tshiven_a - Tshimedzi - Afrikaans - Oktober","Months of the year","20180918"
"English - November - IsiXhosa - eyeNkanga (Novemba) - IsiZulu - uLwezi - Novemba - Tshiven_a - _ara - Afrikaans - November","Months of the year","20180918"
"English - December - IsiXhosa - eyoMnga (Disemba) - IsiZulu - uZibandlela - Disemba - Tshiven_a - Nyendavhusiku - Afrikaans - Desember","Months of the year","20180918"
"English - One - IsiXhosa - Inye - IsiZulu - kunye - Tshiven_a - Thihi - Afrikaans - Een","Counting","20180918"
"English - Two - IsiXhosa - Zimbini - IsiZulu - kubili - Tshiven_a - Mbili - Afrikaans - Twee","Counting","20180918"
"English - Three - IsiXhosa - Zintathu - IsiZulu - kuthathu - Tshiven_a - Tharu - Afrikaans - Drie","Counting","20180918"
"English - Four - IsiXhosa - Zine - IsiZulu - kune - Tshiven_a - I_a - Afrikaans - Vier","Counting","20180918"
"English - Five - IsiXhosa - Zintlanu - IsiZulu - kuhlanu - Tshiven_a - _hanu - Afrikaans - Vyf","Counting","20180918"
"English - Six - IsiXhosa - Zintandathu - IsiZulu - kuyisithupha - Tshiven_a - Rathi - Afrikaans - Ses","Counting","20180918"
"English - Seven  - IsiXhosa - Zisixhenxe - IsiZulu - kuyisikhombisa - Tshiven_a - Sumbe - Afrikaans - Sewe","Counting","20180918"
"English - Eight - IsiXhosa - Zisibhozo - IsiZulu - kuyisishiyagalombili - Tshiven_a - Malo - Afrikaans - Agt","Counting","20180918"
"English - Nine - IsiXhosa - Zilithoba - IsiZulu - kuyisishiyagalolunye - Tshiven_a - _ahe - Afrikaans - Nege","Counting","20180918"
"English - Ten - IsiXhosa - Zilushumi - IsiZulu - ishumi - Tshiven_a - Fumi - Afrikaans - Tien","Counting","20180918"
"English - Eleven - IsiXhosa - Zilishumi elinanye - IsiZulu - ishumi nanye - Tshiven_a - Fuminthihi - Afrikaans - Elf","Counting","20180918"
"English - Twelve - IsiXhosa - Zilishumi elinambini - IsiZulu - ishumi nambili - Tshiven_a - Fumimbili - Afrikaans - Twaalf","Counting","20180918"
"English - Thirteen - IsiXhosa - Zilishumi elinesithathu - IsiZulu - ishumi nantathu - Tshiven_a - Fumiraru - Afrikaans - Dertien","Counting","20180918"
"English - Fourteen - IsiXhosa - Zilishumi elinesine - IsiZulu - ishumi nane - Tshiven_a - Fumii_a - Afrikaans - Veertien","Counting","20180918"
"English - Fifteen - IsiXhosa - Zilishumi elinesihlanu - IsiZulu - ishumi nesihlanu - Tshiven_a - Fumi_hanu - Afrikaans - Vyftien","Counting","20180918"
"English - Sixteen - IsiXhosa - Zilishumi elinesithandathu - IsiZulu - ishumi nesithupha - Tshiven_a - Fumirathi - Afrikaans - Sestien","Counting","20180918"
"English - Seventeen - IsiXhosa - Zilishumi elinesixhenxe - IsiZulu - ishumi nesikhombisa - Tshiven_a - Fumisumbe - Afrikaans - Sewentien","Counting","20180918"
"English - Eighteen - IsiXhosa - Zilishumi elinesibhozo - IsiZulu - ishumi nesishiyagalombili - Tshiven_a - Fumimalo - Afrikaans - Agtien","Counting","20180918"
"English - Nineteen - IsiXhosa - Zilishumi elinesithoba - IsiZulu - ishumi nesishiyagalolunye - Tshiven_a - Fumi_ahe - Afrikaans - Negentien","Counting","20180918"
"English - Twenty - IsiXhosa - Ngamashumi amabini - IsiZulu - amashumi amabili - Tshiven_a - Fumbili - Afrikaans - Twintig","Counting","20180918"
