Description;English;IsiXhosa;IsiZulu;SeSotho;Sepedi;Tshiven_a;Setswana;IsiNdbele;Xitsonga;IsiSwati;Afrikaans;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);Hello;Molo;Sawubona;;;Ndaa/AA!;;;;;Hallo;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);in the Morning;Kusasa;Ekuseni;;;Matsheloni;;;;;Goeie môre;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);In the Afternoon;Emvakwemini;Emini;;;Masiari;;;;;Goeie middag;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);In the Evening;Ngokuhlwa;Ebusuku;;;Madekwana;;;;;Goeie naand;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);How are you?;Unjani?;Unjani?;;;Hurini?/ Vhari mini?;;;;;Hoe gaan dit?;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);I am fine, thnak you;Ndiphilile enkosi, unjani wena?;Ngiyaphila, unjani wena?;;;Ndi hone, ndi vhudzisa ngeo;;;;;Met my gaan dit goed, dankie;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);Thnak you;Enkosi;Ngiyabonga;;;Ndo livhuwa;;;;;Dankie;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);Whats your name?;Ngubani igama lakho?;Ubani igama lakho?;;;Dzina _anu ndi nnyi?;;;;;Wat is jou naam?;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);My name is..;Igama lam ngu..;Igama lami ngu…;;;Dzina _anga ndipfi…;;;;;My naam is..;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);Goodbye (Go well);Hamba kakuhle;"To those staying: Sala kahle (singular)Salani kahle (plural)To those departing: Hamba kahle (singular)Hambani kahle (plural)";;;Vhatshimbile zwavhu_i;avhu_i;;;;Totsiens;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);Yes;Ewe;Yebo;;;ee!;;;;;Ja;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);No;Hayi;Cha;;;Hai;;;;;Nee;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);Please;Ndiyacela;Ngiyacela;;;Ndi khou tou humbela;;;;;Asseblief;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);I’m sorry;Ndicela uxolo;Ngiyaxolisa;;;Khou humbela pfarelo;;;;;Ek is jammer;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);I cant speak…;Andikwazi ukuthetha i…;Angikwazi ukukhuluma i…;;;ndi nga sikone u amba;;;;;Ek kan dit nie praat nie;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);I speak it a little bit;Ndisithetha kancinci;Ngiyazama ukukhuluma ;;;ndi tou kona u amba nyana;;;;;Ek kan dit 'n bietjie praat;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);I  know;Ndiyayazi;Ngiyazi;;;ndi a _ivha;;;;;Ek weet;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);I don’t know;Andiyazi;Angazi;;;athi _ivhi;;;;;Ek weet nie;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);Today;Namhlanje;Namhlanje;;;_amusi;;;;;Vandag;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);Yesterday;Izolo;Izolo;;;Mulovha;;;;;Gister;;;;;;;;;;;;;;;;;;;;;;;;
Greetings & Conversations( informal and formal);Tomorrow;Ngomso;Kusasa;;;Matsheloni;;;;;Môre;;;;;;;;;;;;;;;;;;;;;;;;
Colours;Black;Mnyama;Mnyama;;;mutswu;;;;;Swart;;;;;;;;;;;;;;;;;;;;;;;;
Colours;White;Mhlophe;Mhlophe;;;mutshena;;;;;Wit;;;;;;;;;;;;;;;;;;;;;;;;
Colours;Grey;Ngwevu;Mpunga;;;muse_ha;;;;;Grys;;;;;;;;;;;;;;;;;;;;;;;;
Colours;Green;Luhlaza;Luhlaza satshani;;;lutombo;;;;;Groen;;;;;;;;;;;;;;;;;;;;;;;;
Colours;Blue;Blowu;Luhlaza sasibhakabhaka;;;mudala;;;;;Blou;;;;;;;;;;;;;;;;;;;;;;;;
Colours;Yellow;Mthubi;Phuzi;;;_a_a;;;;;Geel;;;;;;;;;;;;;;;;;;;;;;;;
Colours;Orange;Orenji;Wolinsthi;;;swiri;;;;;Oranje;;;;;;;;;;;;;;;;;;;;;;;;
Colours;Red;Bomvu;Bomvu;;;Mutswuku;;;;;Rooi;;;;;;;;;;;;;;;;;;;;;;;;
Colours;Maroon;Maruni;Obubende;;;Meruni;;;;;Maroen;;;;;;;;;;;;;;;;;;;;;;;;
Colours;Brown;Mdaka;Nsundu;;;Buraweni;;;;;Bruin;;;;;;;;;;;;;;;;;;;;;;;;
Colours;Pink;Pinki;Bomvana;;;Pinki;;;;;Pienk;;;;;;;;;;;;;;;;;;;;;;;;
Days of the week;Monday;Mvulo;UMsombuluko;;;Musumbuluwo;;;;;Maandag;;;;;;;;;;;;;;;;;;;;;;;;
Days of the week;Tuesday;Lwesibini;ULwesibili;;;_avuvhili;;;;;Dinsdag;;;;;;;;;;;;;;;;;;;;;;;;
Days of the week;Wednesday;Lwesithathu;ULwesithathu;;;_avhuraru;;;;;Woensdag;;;;;;;;;;;;;;;;;;;;;;;;
Days of the week;Thursday;Lwesini;ULwesine;;;_avhu_a;;;;;Donderdag;;;;;;;;;;;;;;;;;;;;;;;;
Days of the week;Friday;Lwesihlanu;ULwesihlanu;;;_avhu_anu;;;;;Vrydag;;;;;;;;;;;;;;;;;;;;;;;;
Days of the week;Saturday;Mgqibelo;UMgqibelo;;;Mugivhela;;;;;Saterdag;;;;;;;;;;;;;;;;;;;;;;;;
Days of the week;Sunday;Cawa/Cawe;ISonto;;;Swondaha;;;;;Sondag;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;January;uMdumba (Janyuwari);uMasingana - Januwari ;;;Phando;;;;;Januarie;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;February;uMthupha (Februwari);uNhlolanja - Februwari;;;Luhuhi;;;;;Februarie;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;March;" Ukwindla (Matshi)";uNdasa - Mashi;;;_hafamuhwe;;;;;Maart;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;April;uThazimpunzi (Epril);uMbasa - Ephreli;;;Lambamai;;;;;April;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;May ;uCanzibe (Meyi);uNhlaba - Meyi;;;Shundunthule;;;;;Mei;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;June;uSilimela (Juni);uNhlangulane - Juni;;;Fulwi;;;;;Junie;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;July;uNtulikazi (Julayi);uNtulikazi - Julayi;;;Fulwana;;;;;Julie;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;August ;eyeKhala (Agasti);uNcwaba - Agasti;;;_hangule;;;;;Augustus;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;September ;eyoMsintsi (Septemba);uMandulo - Septhemba;;;Khubvumedzi;;;;;September;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;October;eyeDwarha (Oktoba);uMfumfu - Okthoba;;;Tshimedzi;;;;;Oktober;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;November;eyeNkanga (Novemba);uLwezi - Novemba;;;_ara;;;;;November;;;;;;;;;;;;;;;;;;;;;;;;
Months of the year;December;eyoMnga (Disemba);uZibandlela - Disemba;;;Nyendavhusiku;;;;;Desember;;;;;;;;;;;;;;;;;;;;;;;;
Counting;One;Inye;kunye;;;Thihi;;;;;Een;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Two;Zimbini;kubili;;;Mbili;;;;;Twee;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Three;Zintathu;kuthathu;;;Tharu;;;;;Drie;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Four;Zine;kune;;;I_a;;;;;Vier;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Five;Zintlanu;kuhlanu;;;_hanu;;;;;Vyf;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Six;Zintandathu;kuyisithupha;;;Rathi;;;;;Ses;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Seven ;Zisixhenxe;kuyisikhombisa;;;Sumbe;;;;;Sewe;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Eight;Zisibhozo;kuyisishiyagalombili;;;Malo;;;;;Agt;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Nine;Zilithoba;kuyisishiyagalolunye;;;_ahe;;;;;Nege;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Ten;Zilushumi;ishumi;;;Fumi;;;;;Tien;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Eleven;Zilishumi elinanye;ishumi nanye;;;Fuminthihi;;;;;Elf;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Twelve;Zilishumi elinambini;ishumi nambili;;;Fumimbili;;;;;Twaalf;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Thirteen;Zilishumi elinesithathu;ishumi nantathu;;;Fumiraru;;;;;Dertien;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Fourteen;Zilishumi elinesine;ishumi nane;;;Fumii_a;;;;;Veertien;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Fifteen;Zilishumi elinesihlanu;ishumi nesihlanu;;;Fumi_hanu;;;;;Vyftien;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Sixteen;Zilishumi elinesithandathu;ishumi nesithupha;;;Fumirathi;;;;;Sestien;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Seventeen;Zilishumi elinesixhenxe;ishumi nesikhombisa;;;Fumisumbe;;;;;Sewentien;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Eighteen;Zilishumi elinesibhozo;ishumi nesishiyagalombili;;;Fumimalo;;;;;Agtien;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Nineteen;Zilishumi elinesithoba;ishumi nesishiyagalolunye;;;Fumi_ahe;;;;;Negentien;;;;;;;;;;;;;;;;;;;;;;;;
Counting;Twenty;Ngamashumi amabini;amashumi amabili;;;Fumbili;;;;;Twintig;;;;;;;;;;;;;;;;;;;;;;;;
