quote;name;date
English - Hello - IsiXhosa - Molo - IsiZulu - Sawubona - Tshivenḓa - Ndaa/AA! - Afrikaans - Hallo;Greetings & Conversations( informal and formal);20180918
English - in the Morning - IsiXhosa - Kusasa - IsiZulu - Ekuseni - Tshivenḓa - Matsheloni - Afrikaans - Goeie môre;Greetings & Conversations( informal and formal);20180918
English - In the Afternoon - IsiXhosa - Emvakwemini - IsiZulu - Emini - Tshivenḓa - Masiari - Afrikaans - Goeie middag;Greetings & Conversations( informal and formal);20180918
English - In the Evening - IsiXhosa - Ngokuhlwa - IsiZulu - Ebusuku - Tshivenḓa - Madekwana - Afrikaans - Goeie naand;Greetings & Conversations( informal and formal);20180918
English - How are you? - IsiXhosa - Unjani? - IsiZulu - Unjani? - Tshivenḓa - Hurini?/ Vhari mini? - Afrikaans - Hoe gaan dit?;Greetings & Conversations( informal and formal);20180918
English - I am fine, thnak you - IsiXhosa - Ndiphilile enkosi, unjani wena? - IsiZulu - Ngiyaphila, unjani wena? - Tshivenḓa - Ndi hone, ndi vhudzisa ngeo - Afrikaans - Met my gaan dit goed, dankie;Greetings & Conversations( informal and formal);20180918
English - Thnak you - IsiXhosa - Enkosi - IsiZulu - Ngiyabonga - Tshivenḓa - Ndo livhuwa - Afrikaans - Dankie;Greetings & Conversations( informal and formal);20180918
English - Whats your name? - IsiXhosa - Ngubani igama lakho? - IsiZulu - Ubani igama lakho? - Tshivenḓa - Dzina ḽanu ndi nnyi? - Afrikaans - Wat is jou naam?;Greetings & Conversations( informal and formal);20180918
English - My name is.. - IsiXhosa - Igama lam ngu.. - IsiZulu - Igama lami ngu… - Tshivenḓa - Dzina ḽanga ndipfi… - Afrikaans - My naam is..;Greetings & Conversations( informal and formal);20180918
"English - Goodbye (Go well) - IsiXhosa - Hamba kakuhle - IsiZulu - To those staying: 
Sala kahle (singular)
Salani kahle (plural)
To those departing: 
Hamba kahle (singular)
Hambani kahle (plural) - Tshivenḓa - Vhatshimbile zwavhuḓi - Afrikaans - Totsiens";Greetings & Conversations( informal and formal);20180918
English - Yes - IsiXhosa - Ewe - IsiZulu - Yebo - Tshivenḓa - ee! - Afrikaans - Ja;Greetings & Conversations( informal and formal);20180918
English - No - IsiXhosa - Hayi - IsiZulu - Cha - Tshivenḓa - Hai - Afrikaans - Nee;Greetings & Conversations( informal and formal);20180918
English - Please - IsiXhosa - Ndiyacela - IsiZulu - Ngiyacela - Tshivenḓa - Ndi khou tou humbela - Afrikaans - Asseblief;Greetings & Conversations( informal and formal);20180918
English - I’m sorry - IsiXhosa - Ndicela uxolo - IsiZulu - Ngiyaxolisa - Tshivenḓa - Khou humbela pfarelo - Afrikaans - Ek is jammer;Greetings & Conversations( informal and formal);20180918
English - I cant speak… - IsiXhosa - Andikwazi ukuthetha i… - IsiZulu - Angikwazi ukukhuluma i… - Tshivenḓa - ndi nga sikone u amba - Afrikaans - Ek kan dit nie praat nie;Greetings & Conversations( informal and formal);20180918
English - I speak it a little bit - IsiXhosa - Ndisithetha kancinci - IsiZulu - Ngiyazama ukukhuluma  - Tshivenḓa - ndi tou kona u amba nyana - Afrikaans - Ek kan dit 'n bietjie praat;Greetings & Conversations( informal and formal);20180918
English - I  know - IsiXhosa - Ndiyayazi - IsiZulu - Ngiyazi - Tshivenḓa - ndi a ḓivha - Afrikaans - Ek weet;Greetings & Conversations( informal and formal);20180918
English - I don’t know - IsiXhosa - Andiyazi - IsiZulu - Angazi - Tshivenḓa - athi ḓivhi - Afrikaans - Ek weet nie;Greetings & Conversations( informal and formal);20180918
English - Today - IsiXhosa - Namhlanje - IsiZulu - Namhlanje - Tshivenḓa - Ṋamusi - Afrikaans - Vandag;Greetings & Conversations( informal and formal);20180918
English - Yesterday - IsiXhosa - Izolo - IsiZulu - Izolo - Tshivenḓa - Mulovha - Afrikaans - Gister;Greetings & Conversations( informal and formal);20180918
English - Tomorrow - IsiXhosa - Ngomso - IsiZulu - Kusasa - Tshivenḓa - Matsheloni - Afrikaans - Môre;Greetings & Conversations( informal and formal);20180918
English - Black - IsiXhosa - Mnyama - IsiZulu - Mnyama - Tshivenḓa - mutswu - Afrikaans - Swart;Colours;20180918
English - White - IsiXhosa - Mhlophe - IsiZulu - Mhlophe - Tshivenḓa - mutshena - Afrikaans - Wit;Colours;20180918
English - Grey - IsiXhosa - Ngwevu - IsiZulu - Mpunga - Tshivenḓa - museṱha - Afrikaans - Grys;Colours;20180918
English - Green - IsiXhosa - Luhlaza - IsiZulu - Luhlaza satshani - Tshivenḓa - lutombo - Afrikaans - Groen;Colours;20180918
English - Blue - IsiXhosa - Blowu - IsiZulu - Luhlaza sasibhakabhaka - Tshivenḓa - mudala - Afrikaans - Blou;Colours;20180918
English - Yellow - IsiXhosa - Mthubi - IsiZulu - Phuzi - Tshivenḓa - Ṱaḓa - Afrikaans - Geel;Colours;20180918
English - Orange - IsiXhosa - Orenji - IsiZulu - Wolinsthi - Tshivenḓa - swiri - Afrikaans - Oranje;Colours;20180918
English - Red - IsiXhosa - Bomvu - IsiZulu - Bomvu - Tshivenḓa - Mutswuku - Afrikaans - Rooi;Colours;20180918
English - Maroon - IsiXhosa - Maruni - IsiZulu - Obubende - Tshivenḓa - Meruni - Afrikaans - Maroen;Colours;20180918
English - Brown - IsiXhosa - Mdaka - IsiZulu - Nsundu - Tshivenḓa - Buraweni - Afrikaans - Bruin;Colours;20180918
English - Pink - IsiXhosa - Pinki - IsiZulu - Bomvana - Tshivenḓa - Pinki - Afrikaans - Pienk;Colours;20180918
English - Monday - IsiXhosa - Mvulo - IsiZulu - UMsombuluko - Tshivenḓa - Musumbuluwo - Afrikaans - Maandag;Days of the week;20180918
English - Tuesday - IsiXhosa - Lwesibini - IsiZulu - ULwesibili - Tshivenḓa - Ḽavuvhili - Afrikaans - Dinsdag;Days of the week;20180918
English - Wednesday - IsiXhosa - Lwesithathu - IsiZulu - ULwesithathu - Tshivenḓa - Ḽavhuraru - Afrikaans - Woensdag;Days of the week;20180918
English - Thursday - IsiXhosa - Lwesini - IsiZulu - ULwesine - Tshivenḓa - Ḽavhuṋa - Afrikaans - Donderdag;Days of the week;20180918
English - Friday - IsiXhosa - Lwesihlanu - IsiZulu - ULwesihlanu - Tshivenḓa - Ḽavhuṱanu - Afrikaans - Vrydag;Days of the week;20180918
English - Saturday - IsiXhosa - Mgqibelo - IsiZulu - UMgqibelo - Tshivenḓa - Mugivhela - Afrikaans - Saterdag;Days of the week;20180918
English - Sunday - IsiXhosa - Cawa/Cawe - IsiZulu - ISonto - Tshivenḓa - Swondaha - Afrikaans - Sondag;Days of the week;20180918
English - January - IsiXhosa - uMdumba (Janyuwari) - IsiZulu - uMasingana - Januwari  - Tshivenḓa - Phando - Afrikaans - Januarie;Months of the year;20180918
English - February - IsiXhosa - uMthupha (Februwari) - IsiZulu - uNhlolanja - Februwari - Tshivenḓa - Luhuhi - Afrikaans - Februarie;Months of the year;20180918
"English - March - IsiXhosa -  
Ukwindla (Matshi) - IsiZulu - uNdasa - Mashi - Tshivenḓa - Ṱhafamuhwe - Afrikaans - Maart";Months of the year;20180918
English - April - IsiXhosa - uThazimpunzi (Epril) - IsiZulu - uMbasa - Ephreli - Tshivenḓa - Lambamai - Afrikaans - April;Months of the year;20180918
English - May  - IsiXhosa - uCanzibe (Meyi) - IsiZulu - uNhlaba - Meyi - Tshivenḓa - Shundunthule - Afrikaans - Mei;Months of the year;20180918
English - June - IsiXhosa - uSilimela (Juni) - IsiZulu - uNhlangulane - Juni - Tshivenḓa - Fulwi - Afrikaans - Junie;Months of the year;20180918
English - July - IsiXhosa - uNtulikazi (Julayi) - IsiZulu - uNtulikazi - Julayi - Tshivenḓa - Fulwana - Afrikaans - Julie;Months of the year;20180918
English - August  - IsiXhosa - eyeKhala (Agasti) - IsiZulu - uNcwaba - Agasti - Tshivenḓa - Ṱhangule - Afrikaans - Augustus;Months of the year;20180918
English - September  - IsiXhosa - eyoMsintsi (Septemba) - IsiZulu - uMandulo - Septhemba - Tshivenḓa - Khubvumedzi - Afrikaans - September;Months of the year;20180918
English - October - IsiXhosa - eyeDwarha (Oktoba) - IsiZulu - uMfumfu - Okthoba - Tshivenḓa - Tshimedzi - Afrikaans - Oktober;Months of the year;20180918
English - November - IsiXhosa - eyeNkanga (Novemba) - IsiZulu - uLwezi - Novemba - Tshivenḓa - Ḽara - Afrikaans - November;Months of the year;20180918
English - December - IsiXhosa - eyoMnga (Disemba) - IsiZulu - uZibandlela - Disemba - Tshivenḓa - Nyendavhusiku - Afrikaans - Desember;Months of the year;20180918
English - One - IsiXhosa - Inye - IsiZulu - kunye - Tshivenḓa - Thihi - Afrikaans - Een;Counting;20180918
English - Two - IsiXhosa - Zimbini - IsiZulu - kubili - Tshivenḓa - Mbili - Afrikaans - Twee;Counting;20180918
English - Three - IsiXhosa - Zintathu - IsiZulu - kuthathu - Tshivenḓa - Tharu - Afrikaans - Drie;Counting;20180918
English - Four - IsiXhosa - Zine - IsiZulu - kune - Tshivenḓa - Iṋa - Afrikaans - Vier;Counting;20180918
English - Five - IsiXhosa - Zintlanu - IsiZulu - kuhlanu - Tshivenḓa - Ṱhanu - Afrikaans - Vyf;Counting;20180918
English - Six - IsiXhosa - Zintandathu - IsiZulu - kuyisithupha - Tshivenḓa - Rathi - Afrikaans - Ses;Counting;20180918
English - Seven  - IsiXhosa - Zisixhenxe - IsiZulu - kuyisikhombisa - Tshivenḓa - Sumbe - Afrikaans - Sewe;Counting;20180918
English - Eight - IsiXhosa - Zisibhozo - IsiZulu - kuyisishiyagalombili - Tshivenḓa - Malo - Afrikaans - Agt;Counting;20180918
English - Nine - IsiXhosa - Zilithoba - IsiZulu - kuyisishiyagalolunye - Tshivenḓa - Ṱahe - Afrikaans - Nege;Counting;20180918
English - Ten - IsiXhosa - Zilushumi - IsiZulu - ishumi - Tshivenḓa - Fumi - Afrikaans - Tien;Counting;20180918
English - Eleven - IsiXhosa - Zilishumi elinanye - IsiZulu - ishumi nanye - Tshivenḓa - Fuminthihi - Afrikaans - Elf;Counting;20180918
English - Twelve - IsiXhosa - Zilishumi elinambini - IsiZulu - ishumi nambili - Tshivenḓa - Fumimbili - Afrikaans - Twaalf;Counting;20180918
English - Thirteen - IsiXhosa - Zilishumi elinesithathu - IsiZulu - ishumi nantathu - Tshivenḓa - Fumiraru - Afrikaans - Dertien;Counting;20180918
English - Fourteen - IsiXhosa - Zilishumi elinesine - IsiZulu - ishumi nane - Tshivenḓa - Fumiiṋa - Afrikaans - Veertien;Counting;20180918
English - Fifteen - IsiXhosa - Zilishumi elinesihlanu - IsiZulu - ishumi nesihlanu - Tshivenḓa - Fumiṱhanu - Afrikaans - Vyftien;Counting;20180918
English - Sixteen - IsiXhosa - Zilishumi elinesithandathu - IsiZulu - ishumi nesithupha - Tshivenḓa - Fumirathi - Afrikaans - Sestien;Counting;20180918
English - Seventeen - IsiXhosa - Zilishumi elinesixhenxe - IsiZulu - ishumi nesikhombisa - Tshivenḓa - Fumisumbe - Afrikaans - Sewentien;Counting;20180918
English - Eighteen - IsiXhosa - Zilishumi elinesibhozo - IsiZulu - ishumi nesishiyagalombili - Tshivenḓa - Fumimalo - Afrikaans - Agtien;Counting;20180918
English - Nineteen - IsiXhosa - Zilishumi elinesithoba - IsiZulu - ishumi nesishiyagalolunye - Tshivenḓa - Fumiṱahe - Afrikaans - Negentien;Counting;20180918
English - Twenty - IsiXhosa - Ngamashumi amabini - IsiZulu - amashumi amabili - Tshivenḓa - Fumbili - Afrikaans - Twintig;Counting;20180918
